SL,Branch_name,Import_No_of_LC,Import,Export_No_of_LC,Export
170,Mostafapur ,0,0,0,0
171,Moulvibazar  (Sylhet),0,0,0,0
172,Nabiganj ,0,0,0,0
173,Nazir Bazar ,0,0,0,0
174,Shahjalal Uposhahar ,0,742,0,0
175,Sreemangal ,0,0,0,0
176,Sunamganj ,0,3267,0,0
177,Sylhet ,0,4308,0,0
178,Bagerhat ,0,0,0,0
179,Chuadanga ,0,6115,0,2208
180,Daulatpur ,0,143,0,260
181,Gopalgonj ,0,0,0,0
182,Jashore ,0,8221,0,0
183,Jhenaidah ,0,97,0,0
184,K.D.A ,0,1960,0,0
185,Khalishpur ,0,1744,0,0
186,Lower Jashore Road ,0,153,0,0
187,Magura ,0,648,0,0
188,Mongla ,0,92,0,0
189,Narail ,0,31,0,0
190,Noapara ,0,2266,0,0
191,Ramdia Bazar,0,0,0,0
192,Sarojganj ,0,0,0,0
193,Satkhira ,0,176,0,232
194,Sir Iqbal Road ,0,10254,0,8000
195,Barguna ,0,0,0,0
196,Barishal ,0,2544,0,0
197,Bhola ,0,0,0,0
198,Charfashion ,0,0,0,0
199,Chawk Bazar (BAR) ,0,0,0,0
200,Daulatkhan ,0,0,0,0
201,Faridpur ,0,16,0,1200
202,Galachipa ,0,0,0,0
203,Jhalakati ,0,0,0,0
204,Khepupara ,0,0,0,0
205,Lalmohan ,0,0,0,0
206,Madaripur ,0,740,0,0
207,Mathbaria ,0,0,0,0
208,Patuakhali ,0,0,0,0
209,Pirojpur ,0,0,0,0
210,Rajbari ,0,0,0,0
211,Shariatpur ,0,0,0,0
212,Tajumuddin ,0,0,0,0
213,Tekerhat ,0,0,0,0
214,Bhangura ,0,0,0,0
215,Bonpara ,0,0,0,0
216,Chanchkoir ,0,36,0,0
217,Chapainawabgonj ,0,632,0,0
218,Ishwardi ,0,0,0,0
219,Kansat ,0,4557,0,0
220,Keshorhat ,0,23,0,0
221,Kushtia ,0,753,0,87
222,Lalpur ,0,63,0,0
223,Mahisalbari ,0,0,0,0
224,Meherpur ,0,0,0,0
225,Natore ,0,5929,0,27482
226,New Market  (Rajshahi),0,1408,0,728
227,Pabna ,0,5622,0,12531
228,Puthia ,0,0,0,0
229,Rani Bazar ,0,1221,0,71
230,Shaheb Bazar ,0,5856,0,401
231,Bogura ,0,21841,0,6188
232,Dinajpur ,0,0,0,0
233,Gaibandha ,0,0,0,0
234,Joypurhat ,0,0,0,0
235,Kurigram ,0,40,0,0
236,Lalmonirhat ,0,0,0,0
237,Naogaon ,0,7372,0,0
238,Nilphamari ,0,8,0,0
239,Panchagarh ,0,0,0,0
240,Phulbari ,0,1519,0,750
241,Poura Park Market ,0,0,0,0
242,Pulhat ,0,0,0,0
243,Rangpur ,0,1448,0,1762
244,Saidpur ,0,0,0,0
245,Shahjadpur ,0,0,0,0
246,Sirajgonj ,0,0,0,0
247,Station Road ,0,0,0,0
248,Subgacha ,0,0,0,0
249,Thakurgaon ,0,99,0,0
250,Ullapara ,0,373,0,0
251,Head Office,0,0,0,0
,Tottal,0,900000,0,900000
