SL,Branch_name,Import_No_of_LC,Import,Export_No_of_LC,Export
170,Moulvibazar  (Sylhet),0,0,0,0
171,Nabiganj ,0,0,0,0
172,Nazir Bazar ,0,0,0,0
173,Shahjalal Uposhahar ,0,452,0,0
174,Sreemangal ,0,0,0,0
175,Sunamganj ,0,2982,0,0
176,Sylhet ,0,4358,0,100
177,Bagerhat ,0,0,0,0
178,Chuadanga ,0,8235,0,7870
179,Daulatpur ,0,202,0,0
180,Gopalgonj ,0,0,0,0
181,Jashore ,0,7013,0,1550
182,Jhenaidah ,0,519,0,0
183,K.D.A ,0,379,0,0
184,Khalishpur ,0,0,0,0
185,Lower Jashore Road ,0,659,0,96
186,Magura ,0,530,0,0
187,Mongla ,0,44,0,0
188,Narail ,0,0,0,0
189,Noapara ,0,2643,0,0
190,Ramdia Bazar ,0,0,0,0
191,Sarojganj ,0,0,0,0
192,Satkhira ,0,88,0,0
193,Sir Iqbal Road ,0,11188,0,4484
194,Barguna ,0,0,0,0
195,Barishal ,0,2293,0,100
196,Bhola ,0,0,0,0
197,Charfashion ,0,0,0,0
198,Chawk Bazar (BAR) ,0,0,0,0
199,Daulatkhan ,0,0,0,0
200,Faridpur ,0,0,0,0
201,Galachipa ,0,0,0,0
202,Jhalakati ,0,0,0,0
203,Khepupara ,0,0,0,0
204,Lalmohan ,0,0,0,0
205,Madaripur ,0,0,0,0
206,Mathbaria ,0,0,0,0
207,Patuakhali ,0,0,0,0
208,Pirojpur ,0,0,0,0
209,Rajbari ,0,207,0,0
210,Shariatpur ,0,0,0,0
211,Tajumuddin ,0,0,0,0
212,Tekerhat ,0,0,0,0
213,Bhangura ,0,0,0,0
214,Bonpara ,0,0,0,0
215,Chanchkoir ,0,90,0,0
216,Chapainawabgonj ,0,1105,0,0
217,Ishwardi ,0,0,0,0
218,Kansat ,0,2669,0,0
219,Keshorhat ,0,24,0,0
220,Kushtia ,0,364,0,0
221,Lalpur ,0,773,0,0
222,Mahisalbari ,0,0,0,0
223,Meherpur ,0,0,0,0
224,Natore ,0,7364,0,33200
225,New Market  (Rajshahi),0,3001,0,0
